Sun Nov 27 18:49:48 2022    profiler_result

         274689913 function calls (269353762 primitive calls) in 145.197 seconds

   Ordered by: internal time
   List reduced from 15008 to 1588 due to restriction <'wger/wger((?!tests).)*$'>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      111    0.000    0.000    0.030    0.000 /Users/adampetik/School/wger/wger/manager/models/workout.py:93(get_absolute_url)
       26    0.000    0.000    0.063    0.002 /Users/adampetik/School/wger/wger/gym/views/contract_option.py:99(dispatch)
        7    0.000    0.000    0.107    0.015 /Users/adampetik/School/wger/wger/manager/views/workout.py:165(copy_workout)
       11    0.000    0.000    0.031    0.003 /Users/adampetik/School/wger/wger/exercises/api/views.py:160(perform_update)
        5    0.000    0.000    0.036    0.007 /Users/adampetik/School/wger/wger/manager/management/commands/email-reminders.py:102(send_email)
        9    0.000    0.000    0.103    0.011 /Users/adampetik/School/wger/wger/manager/views/ical.py:147(export_schedule)
       22    0.000    0.000    0.059    0.003 /Users/adampetik/School/wger/wger/gym/views/user_config.py:48(dispatch)
       20    0.000    0.000    0.066    0.003 /Users/adampetik/School/wger/wger/gym/views/admin_notes.py:142(dispatch)
       22    0.000    0.000    0.014    0.001 /Users/adampetik/School/wger/wger/utils/language.py:63(load_item_languages)
       33    0.000    0.000    0.004    0.000 /Users/adampetik/School/wger/wger/utils/pdf.py:95(render_footer)
       25    0.000    0.000    0.002    0.000 /Users/adampetik/School/wger/wger/core/forms.py:198(__init__)
       18    0.000    0.000    0.062    0.003 /Users/adampetik/School/wger/wger/gym/views/document.py:152(dispatch)
       17    0.000    0.000    0.003    0.000 /Users/adampetik/School/wger/wger/manager/helpers.py:255(formatmonth)
       12    0.000    0.000    0.027    0.002 /Users/adampetik/School/wger/wger/core/views/user.py:172(trainer_login)
       51    0.000    0.000    0.070    0.001 /Users/adampetik/School/wger/wger/nutrition/views/ingredient.py:183(form_valid)
        3    0.000    0.000    0.050    0.017 /Users/adampetik/School/wger/wger/config/models/gym_config.py:67(save)
       35    0.000    0.000    0.013    0.000 /Users/adampetik/School/wger/wger/core/models/profile.py:378(weight)
       27    0.000    0.000    0.021    0.001 /Users/adampetik/School/wger/wger/manager/models/log.py:130(get_workout_session)
       58    0.000    0.000    0.004    0.000 /Users/adampetik/School/wger/wger/nutrition/models/ingredient.py:296(__eq__)
       98    0.000    0.000    0.003    0.000 /Users/adampetik/School/wger/wger/exercises/models/muscle.py:58(image_url_main)
       10    0.000    0.000    0.003    0.000 /Users/adampetik/School/wger/wger/nutrition/forms.py:239(__init__)
       58    0.000    0.000    0.004    0.000 /Users/adampetik/School/wger/wger/exercises/models/exercise.py:115(get_absolute_url)
        2    0.000    0.000    0.007    0.003 /Users/adampetik/School/wger/wger/weight/helpers.py:42(parse_weight_csv)
       16    0.000    0.000    0.007    0.000 /Users/adampetik/School/wger/wger/exercises/api/serializers.py:259(validate)
        8    0.000    0.000    0.024    0.003 /Users/adampetik/School/wger/wger/nutrition/views/bmi.py:53(calculate)
       53    0.000    0.000    0.193    0.004 /Users/adampetik/School/wger/wger/nutrition/views/ingredient.py:189(dispatch)
       38    0.000    0.000    0.030    0.001 /Users/adampetik/School/wger/wger/utils/helpers.py:173(check_access)
        5    0.000    0.000    0.013    0.003 /Users/adampetik/School/wger/wger/exercises/api/views.py:257(search)
       15    0.000    0.000    0.568    0.038 /Users/adampetik/School/wger/wger/manager/views/workout.py:121(view)
        9    0.000    0.000    0.002    0.000 /Users/adampetik/School/wger/wger/nutrition/forms.py:111(__init__)
        8    0.000    0.000    0.573    0.072 /Users/adampetik/School/wger/wger/manager/views/schedule.py:90(view)
       51    0.000    0.000    0.045    0.001 /Users/adampetik/School/wger/wger/nutrition/models/ingredient.py:371(set_author)
       40    0.000    0.000    0.003    0.000 /Users/adampetik/School/wger/wger/core/templatetags/wger_extras.py:131(render_muscles)
       42    0.000    0.000    0.054    0.001 /Users/adampetik/School/wger/wger/exercises/models/base.py:122(__str__)
       42    0.000    0.000    0.009    0.000 /Users/adampetik/School/wger/wger/nutrition/models/plan.py:220(get_log_entries)
      595    0.000    0.000    0.000    0.000 /Users/adampetik/School/wger/wger/manager/helpers.py:273(day_cell)
       55    0.000    0.000    0.000    0.000 /Users/adampetik/School/wger/wger/__init__.py:14(get_version)
       23    0.000    0.000    0.008    0.000 /Users/adampetik/School/wger/wger/weight/helpers.py:210(get_last_entries)
       14    0.000    0.000    0.039    0.003 /Users/adampetik/School/wger/wger/core/views/user.py:373(dispatch)
       64    0.000    0.000    0.000    0.000 /Users/adampetik/School/wger/wger/utils/helpers.py:114(make_uid)
       14    0.000    0.000    0.039    0.003 /Users/adampetik/School/wger/wger/core/views/user.py:408(dispatch)
       13    0.000    0.000    0.039    0.003 /Users/adampetik/School/wger/wger/gym/views/contract.py:131(dispatch)
        1    0.000    0.000    0.000    0.000 /Users/adampetik/School/wger/wger/core/models/profile.py:57(UserProfile)
       51    0.000    0.000    0.015    0.000 /Users/adampetik/School/wger/wger/nutrition/views/unit.py:92(form_valid)
      384    0.000    0.000    0.000    0.000 /Users/adampetik/School/wger/wger/gym/models/gym.py:96(__str__)
        1    0.000    0.000    0.119    0.119 /Users/adampetik/School/wger/wger/urls.py:1(<module>)
       22    0.000    0.000    0.050    0.002 /Users/adampetik/School/wger/wger/gym/views/gym.py:441(dispatch)
       17    0.000    0.000    0.020    0.001 /Users/adampetik/School/wger/wger/utils/language.py:88(load_ingredient_languages)
        3    0.000    0.000    0.022    0.007 /Users/adampetik/School/wger/wger/exercises/models/exercise.py:136(delete)
        8    0.000    0.000    0.019    0.002 /Users/adampetik/School/wger/wger/exercises/models/comment.py:55(save)
       20    0.000    0.000    0.039    0.002 /Users/adampetik/School/wger/wger/manager/models/log.py:144(save)
      320    0.000    0.000    0.000    0.000 /Users/adampetik/School/wger/wger/manager/models/set.py:157(get_rir_representation)
        1    0.000    0.000    0.009    0.009 /Users/adampetik/School/wger/wger/manager/migrations/0017_alter_workoutlog_exercise_base.py:78(migrate_bases)
      348    0.000    0.000    0.000    0.000 /Users/adampetik/School/wger/wger/core/models/profile.py:426(use_metric)
        5    0.000    0.000    0.045    0.009 /Users/adampetik/School/wger/wger/manager/views/set.py:68(create)
       13    0.000    0.000    0.032    0.002 /Users/adampetik/School/wger/wger/gym/views/contract.py:205(dispatch)
      164    0.000    0.000    0.000    0.000 /Users/adampetik/School/wger/wger/utils/cache.py:93(get_workout_log_list)
       12    0.000    0.000    0.112    0.009 /Users/adampetik/School/wger/wger/manager/views/log.py:313(dispatch)
       22    0.000    0.000    0.051    0.002 /Users/adampetik/School/wger/wger/gym/views/config.py:47(dispatch)
